run_id,rsi_period,stoch_period_k,stoch_period_d,ema_filter_period,rsi_buy_threshold,stoch_buy_threshold,stop_loss_pct,take_profit_pct,leverage,status,windows,net_return_pct_avg,net_return_pct_min,net_return_pct_max,sharpe_avg,max_drawdown_avg,win_rate_avg,profit_factor_avg,sortino_avg,total_trades_sum,total_trades_avg,rank
1196,24,16,5,200,0.2,15.0,0.03,0.05,5,ok,1,8.39,8.39,8.39,1.57,3.75,57.1,1.68,214697.37,7,7.0,1
846,16,16,5,150,0.15,15.0,0.03,0.05,5,ok,1,8.39,8.39,8.39,1.57,3.75,57.1,1.68,214697.37,7,7.0,2
926,20,12,3,100,0.15,15.0,0.03,0.05,5,ok,1,8.35,8.35,8.35,1.57,3.76,57.1,1.68,214696.13,7,7.0,3
1156,24,14,5,150,0.2,15.0,0.03,0.05,5,ok,1,8.35,8.35,8.35,1.57,3.76,57.1,1.68,214696.13,7,7.0,4
806,16,14,5,100,0.15,15.0,0.03,0.05,5,ok,1,8.35,8.35,8.35,1.57,3.76,57.1,1.68,214696.13,7,7.0,5
966,20,14,3,150,0.15,15.0,0.03,0.05,5,ok,1,8.35,8.35,8.35,1.57,3.76,57.1,1.68,214696.13,7,7.0,6
1116,24,12,5,100,0.2,15.0,0.03,0.05,5,ok,1,8.35,8.35,8.35,1.57,3.76,57.1,1.68,214696.13,7,7.0,7
766,16,12,3,200,0.15,15.0,0.03,0.05,5,ok,1,8.35,8.35,8.35,1.57,3.76,57.1,1.68,214696.13,7,7.0,8
1006,20,16,3,200,0.15,15.0,0.03,0.05,5,ok,1,8.35,8.35,8.35,1.57,3.76,57.1,1.68,214696.13,7,7.0,9
601,14,12,5,100,0.15,25.0,0.03,0.05,5,ok,1,7.36,7.36,7.36,0.92,7.9,50.0,1.36,32618.11,10,10.0,10
681,14,16,5,200,0.15,25.0,0.03,0.05,5,ok,1,7.36,7.36,7.36,0.92,7.9,50.0,1.36,32618.11,10,10.0,11
561,14,10,3,200,0.15,25.0,0.03,0.05,5,ok,1,7.36,7.36,7.36,0.92,7.9,50.0,1.36,32618.11,10,10.0,12
641,14,14,5,150,0.15,25.0,0.03,0.05,5,ok,1,7.36,7.36,7.36,0.92,7.9,50.0,1.36,32618.11,10,10.0,13
521,14,8,3,150,0.15,25.0,0.03,0.05,5,ok,1,7.36,7.36,7.36,0.92,7.9,50.0,1.36,32618.11,10,10.0,14
1071,24,10,3,150,0.2,25.0,0.03,0.05,5,ok,1,6.75,6.75,6.75,1.25,4.09,42.9,1.52,4.39,7,7.0,15
1031,24,8,3,100,0.2,25.0,0.03,0.05,5,ok,1,6.75,6.75,6.75,1.25,4.09,42.9,1.52,4.39,7,7.0,16
1191,24,16,5,150,0.2,25.0,0.03,0.05,5,ok,1,6.75,6.75,6.75,1.25,4.09,42.9,1.52,4.39,7,7.0,17
1151,24,14,5,100,0.2,25.0,0.03,0.05,5,ok,1,6.75,6.75,6.75,1.25,4.09,42.9,1.52,4.39,7,7.0,18
1111,24,12,3,200,0.2,25.0,0.03,0.05,5,ok,1,6.75,6.75,6.75,1.25,4.09,42.9,1.52,4.39,7,7.0,19
881,20,8,5,150,0.15,25.0,0.03,0.05,5,ok,1,6.72,6.72,6.72,1.25,4.09,42.9,1.52,4.39,7,7.0,20
961,20,14,3,100,0.15,25.0,0.03,0.05,5,ok,1,6.72,6.72,6.72,1.25,4.09,42.9,1.52,4.39,7,7.0,21
1001,20,16,3,150,0.15,25.0,0.03,0.05,5,ok,1,6.72,6.72,6.72,1.25,4.09,42.9,1.52,4.39,7,7.0,22
921,20,10,5,200,0.15,25.0,0.03,0.05,5,ok,1,6.72,6.72,6.72,1.25,4.09,42.9,1.52,4.39,7,7.0,23
920,20,10,5,200,0.15,15.0,0.015,0.05,3,ok,1,6.21,6.21,6.21,1.86,2.28,44.4,2.03,73207.19,9,9.0,24
960,20,14,3,100,0.15,15.0,0.015,0.05,3,ok,1,5.08,5.08,5.08,1.4,2.27,40.0,1.71,41143.21,10,10.0,25
1000,20,16,3,150,0.15,15.0,0.015,0.05,3,ok,1,5.08,5.08,5.08,1.4,2.27,40.0,1.71,41143.21,10,10.0,26
720,16,10,3,100,0.15,15.0,0.015,0.05,3,ok,1,4.95,4.95,4.95,1.4,2.3,40.0,1.68,41283.41,10,10.0,27
1070,24,10,3,150,0.2,15.0,0.015,0.05,3,ok,1,4.95,4.95,4.95,1.4,2.3,40.0,1.68,41283.41,10,10.0,28
1030,24,8,3,100,0.2,15.0,0.015,0.05,3,ok,1,4.94,4.94,4.94,1.4,2.3,40.0,1.67,42191.42,10,10.0,29
996,20,16,3,100,0.2,15.0,0.03,0.05,5,ok,1,4.46,4.46,4.46,0.76,7.02,50.0,1.28,43782.33,8,8.0,30
